,Title,Interventions,Phases
36,risk adapted therapy diffuse large b cell lymphoma,drug  rituximab  etoposide  cyclophosphamide  doxorubicin  vincristine prednisone  filgrastim,phase 2
37,cart 19 cells r r b cell lymphoma,cart 19 cel,phase 2 phase 3
38,cns prophylaxis diffuse large b cell lymphoma,drug  methotrex,phase 3
39,study 90y dota hll2 consolidation therapy r chop patients diffuse large b cell lymphoma,drug  90y dota hll2,phase 2
40,biocell natural killer mixture diffuse large b cell lymphoma  dlbcl  pati,biological  nkm inject,phase 3
41,study bendamustine ofatumumab elderly patients newly diagnosed diffuse large b cell lymphoma poor candidates r chop chemotherapi,drug  bendamustine drug  ofatumumab,phase 2
42,early response assessment diffuse large b cell lymphoma  dlcl  patients 18 fluoro 2 deoxyglycose positron emission tomography  fdg pet ,nan,nan
43,safety efficacy aeb071 everolimus patients cd79 mutant abc subtype diffuse large b cell lymphoma,drug  aeb071 drug  everolimu,phase 1
44,study aeb071  protein kinase c inhibitor  patients cd79 mutant diffuse large b cell lymphoma,drug  aeb071,phase 1
45,prospective cohort study central nervous system evaluation diffuse large b cell lymphoma,procedure  csf analysi,applicable
46,extended treatment access study mt 3724 subjects relapsed non hodgkin b cell lymphoma,drug  mt 3724,nan
47,high dose rituximab initial treatment indolent b cell lymphoma,drug  rituximab,phase 2
48,phase 2b open label study selinexor  kpt 330  patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  selinexor,phase 2
49,treatment elderly patients diffuse large b cell lymphoma,drug   r  chop regimen drug   r  cvp regimen,phase 4
50,association velcade r chop treatment b cell lymphoma,drug  rituximab  chop plus velcad,phase 2
51,mature b cell lymphoma leukemia study iii,drug  copad drug  cop  copd m3  cym drug  cop  copadm8  cyv,phase 2 phase 3
52,safety efficacy ipd1 cd19 ecar cells relapsed refractory b cell lymphoma,biological  ipd1 cd19 ecar cells drug  fludarabine cyclophosphamid,phase 1
53,lower dose decitabine based therapy patients refractory chemotherapy resistant solid tumors b cell lymphoma,drug  decitabine biological  cytokine induced killer cel,phase 1 phase 2
54,trial idelalisib patients relapsed diffuse large b cell lymphoma,drug  idelalisib,phase 2
55,study comparing efficacy safety g chop versus r chop untreated diffuse large b cell lymphoma pati,biological  g chop biological  r chop,phase 3
56,clinical trial decitabine relapse refractory diffuse large b cell lymphoma,drug  decitabin,phase 4
57,clinical study et190l1 artemis™ relapsed  refractory b cell lymphoma,biological  et190l1 artemis™ cel,phase 1
58,dose reduced consolidation radiation therapy patients diffuse large b cell lymphoma,radiation  radiation therapi,applicable
59,phase ii randomized study r dhap     bortezomib induction therapy relapsed refractory diffuse large b cell lymphoma  dlbcl  patients eligible transplantation  br dhap versus r dhap ,drug  r dhap drug  br dhap,phase 2 phase 3
60,study learn 200mg test drug  fostamatinib  helps people large b cell lymphoma type blood canc,drug  fostamatinib,phase 2
61,utility study diffuse large b cell lymphoma  dlbcl ,nan,nan
62,decitabine plus r chop diffuse large b cell lymphoma,drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  decitabin,phase 1 phase 2
63,real time molecular characterization diffuse large b cell lymphoma  dlbcl ,procedure  biological samples collect,nan
64,safety tolerability study incb053914 combination incb050465 diffuse large b cell lymphoma,drug  incb053914 drug  incb050465,phase 1
65,valproate first line therapy combination rituximab chop diffuse large b cell lymphoma,drug  valproate drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 1 phase 2
66,r eshap followed autologous transplantation refractory relapsed diffused large b cell lymphoma,drug  r eshap,phase 2
67,yttrium 90 ibritumomab tiuxetan  zevalin  beam relapsed low grade b cell lymphoma,drug  zevalin plus beam,phase 2
68,trial evaluate efficacy safety mor208 bendamustine  ben  versus rituximab  rtx  ben adult patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  rituximab  rtx  drug  mor208 drug  bendamustine  ben ,phase 2 phase 3
69,ibrutinib standard immuno chemotherapy younger  high risk patients diffuse large b cell lymphoma,drug  ibrutinib oral capsule  imbruvica  drug  r choep chemotherapi,phase 2
70,study venetoclax plus da epoch r treatment aggressive b cell lymphoma,drug  venetoclax drug  rituximab drug  etoposide drug  vincristine sulfate drug  cyclophosphamide drug  prednisone drug  doxorubicin hydrochlorid,phase 1
71,tak 659 participants relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  tak 659,phase 2
72,venetoclax plus r ice chemotherapy relapsed refractory diffuse large b cell lymphoma,drug  venetoclax drug  ric,phase 1
73,rituximab  cyclophosphamide  vincristine prednisone  r chop  plus metformin diffuse large b cell lymphoma,drug  metformin,phase 2
74,vtx 2337 combination radiotherapy patients low grade b cell lymphoma,drug  vtx 2337 plus radiotherapi,phase 1 phase 2
75,rhcacd20ma  hs006  combined chop  hi chop  patients previously untreated diffuse large b cell lymphoma,drug  hs006 chop drug  rituximab chop,phase 2
76,phase ii trial ifosfamide  etoposide  cytarabine  methotrexate  ivam  chemotherapy refractory relapsed diffuse large b cell lymphoma,drug  ifosfamide  etoposide  cytarabine  methotrexate  ivam  chemotherapi,phase 2
77,18f fdg pet scan mri diffusion evaluation early therapeutic response diffuse large b cell lymphoma,18f fdg pet scan mri diffus,applicable
78,study pegylated liposomal doxorubicin contrast epirubicin treatment diffuse large b cell lymphoma,drug  pl doxorubicin epirubicin,applicable
79,study compare efficacy safety jhl1101 versus rituximab patients previously untreated diffuse large b cell lymphoma  dlbcl ,biological  jhl1101 biological  mabthera,phase 3
80,study btk inhibitor bgb 3111 subjects relapsed refractory non gcb type diffuse large b cell lymphoma,drug  bgb 3111,phase 2
81,phase ii study oral panobinostat  lbh589  rituximab treat diffuse large b cell lymphoma  dlbcl ,drug  lbh589 drug  rituximab,phase 2
82,phase study continuous infusion immunotoxin igg rfb4 smpt dga refractory cd22 positive b cell lymphoma,drug  igg rfb4 smpt dga,phase 1
83,study mk 2206 patients relapsed refractory diffuse large b cell lymphoma,drug  mk2206,phase 2
84,pilot study dmri tool early evaluation tumor response diffuse large b cell lymphoma,procedure  diffusion mri,nan
85,safety efficacy study cnop chemotherapy diffuse large b cell lymphoma,drug  cyclophosphamide drug  vincristine drug  prednison,phase 1
86,phase ii study 131i rituximab relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  131i rituximab,phase 2
87,treatment diffuse large b cell lymphoma,drug  yangzhengxiaoji capsule combined chop regimen drug  chop regimen,phase 4
88,evaluation azd2014 alone combination rituximab relapsed refractory diffuse large b cell lymphoma,drug  azd 2014 drug  rituximab,phase 2
89,trial mosunetuzumab  btct4465a  consolidation therapy participants diffuse large b cell lymphoma following first line immunochemotherapy therapy participants previously untreated diffuse large b cell lymphoma unable tolerate full dose chemotherapi,drug  mosunetuzumab drug  tocilizumab,phase 1 phase 2
90,panobinostat rituximab relapsed refractory diffuse large b cell lymphoma,drug  panobinostat rituximab,phase 2
91,abbreviated 3 cycles rituximab plus chop cyclophosphamide  adriamycin  vincristine  prednisolone  immunochemotherapy patients completely excised localizedgastrointestinal cd cluster differentiation antigen 20    diffuse large b cell lymphoma,drug  abb r chop,phase 2
92,lenalidomide relapsed refractory primary cutaneous large b cell lymphoma leg type   multicentre prospective phase ii single arm trial french study group cutaneous lymphoma,drug  lenalidomid,phase 2
93,phase ib study btki cc 292 combined lenalidomide adults patients relapsed refractory b cell lymphoma,drug  cc 292   lenalidomid,phase 1
94,intensified 1st cycle rituximab plus 8th cycles r chop chemotherapy patients advanced bulky cd20  diffuse large b cell lymphoma  dlbcl ,drug  rituximab,phase 2
95,fdg pet stratified r dicep r beam asct diffuse large b cell lymphoma,procedure  autologous blood stem transplantation drug  r chop  rituximab  cyclphosphamide  etoposide  cisplatin  mesna  g csf,applicable
96,study comparing efficacy safety polatuzumab vedotin rituximab cyclophosphamide  doxorubicin  prednisone  r chp  versus rituximab cyclophosphamide  doxorubicin  vincristine  prednisone  r chop  participants diffuse large b cell lymphoma,drug  polatuzumab vedotin drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  vincristine placebo drug  prednisone drug  polatuzumab vedotin placebo,phase 3
97,efficacy consolidative involved site radiotherapy patients limited stage diffuse large b cell lymphoma,radiation  consolidation involved site radiotherapy  isrt  radiation  consolidation involved field radiotherapy  ifrt  drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 3
98,palliative benefit involved site radiotherapy patients advanced stage diffuse large b cell lymphoma,radiation  consolidation involved site radiotherapy  isrt  radiation  consolidation involved field radiotherapy  ifrt  drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 3
99,study lenalidomide evaluate safety effectiveness patients diffuse large b cell lymphoma  dlbcl ,drug  lenalidomide drug  gemcitabine drug  oxaliplatin drug  rituximab drug  etoposid,phase 2 phase 3
100,study ofatumomab combination ice chemotherapy patients diffuse large b cell lymphoma  dlbcl ,drug  ice  ofatumumab  ifosfamide  carboplatin  etoposide ,phase 2
101,ibrutinib patients refractory relapsed non gcb diffuse large b cell lymphoma non candidates autologous stem cell transpl,drug  ibrutinib drug  rituximab drug  gemcitabine drug  oxaliplatin drug  dexamethason,phase 2
102,ibrutinib lenalidomide dose adjusted epoch r subjects relapsed refractory diffuse large b cell lymphoma,drug  ibrutinib drug  part 1  dose level 1,phase 1 phase 2
103,avelumab combination regimens include immune agonist  epigenetic modulator  cd20 antagonist conventional chemotherapy patients relapsed refractory diffuse large b cell lymphoma  r r dlbcl ,biological  avelumab biological  utomilumab biological  rituximab azacitidine drug  bendamustine drug  gemcitabine drug  oxaliplatin,phase 3
104,gcs 100le combination etoposide dexamethasone relapsed refractory diffuse large b cell lymphoma,drug  gcs 100 drug  etoposide  dexamethason,phase 1 phase 2
105,study evaluate efficacy safety loncastuximab tesirine patients relapsed refractory diffuse large b cell lymphoma,drug  loncastuximab tesirin,phase 2
106,multicenter phase ii study evaluate clinical activity safety profile everolimus marginal zone b cell lymphomas  mzl ,drug  everolimu,phase 2
107,use pet early response evaluation patients diffuse large b cell lymphoma ,nan,nan
108,new combination chemoimmunotherapy systemic b cell lymphoma central nervous system involv,drug  methotrexate drug  rituximab drug  cytarabine drug  thiotepa drug  liposomial cytarabine drug  etoposide drug  ifosfamide drug  carmustine radiation  whole brain radiotherapi,phase 2
109,clinical trial determinate dose  security efficacy lenalidomide rituximab  lr  eshap patients diffuse large b cell lymphoma,drug  lr eshap  lenalidomide 5 mg  drug  lr eshap  lenalidomide 10 mg  drug  lr eshap  lenalidomide 15 mg  drug  lr eshap  lenalidomide 20 mg ,phase 1 phase 2
110,study bevacizumab  avastin  combination rituximab  mabthera  chop  cyclophosphamide  hydroxydaunorubicin  doxorubicin   oncovin  vincristine   prednisone  chemotherapy patients diffuse large b cell lymphoma,drug  bevacizumab drug  rituximab drug  chop drug  placebo,phase 3
111,azd2014 plus novel anti cancer agents relapsed refractory diffuse large b cell lymphoma,drug  azd2014 drug  ibrutinib,phase 1
112,treatment resistance related gene expression profile diffuse large b cell lymphoma,nan,nan
113,akt inhibitor mk2206 treating patients relapsed refractory diffuse large b cell lymphoma,drug  akt inhibitor mk2206 laboratory biomarker analysis pharmacological studi,phase 2
114,study evaluating kte c19 combination atezolizumab subjects refractory diffuse large b cell lymphoma  dlbcl ,biological  axicabtagene ciloleucel drug  atezolizumab  anti pd l1 ,phase 1 phase 2
115,randomized  open label  two arms  phase iii comparative study assessing role involved mediastinal radiotherapy rituximab containing chemotherapy regimens patients newly diagnosed primary mediastinal large b cell lymphoma,observation radiation  3d conformal radiotherapy  3d crt ,applicable
116,clinical study blinatumomab patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  blinatumomab,phase 2
117,reduced radiation patients diffuse large b cell lymphoma,radiation  radiation therapi,applicable
118,kpt 330 plus rice relapsed refractory aggressive b cell lymphoma,drug  kpt 330 drug  rituximab drug  etoposide drug  carboplatin drug  ifosfamide drug  dexamethason,phase 1
119,tgr 1202 ibrutinib treating patients relapsed refractory diffuse large b cell lymphoma,drug  ibrutinib laboratory biomarker analysis drug  pi3k delta inhibitor tgr 1202,phase 2
120,bendamustine plus subcutaneous rituximab patients diffuse large b cell lymphoma,drug  bendamustine  rituximab,phase 2
121,ofatumumab ivac salvage chemotherapy diffuse large b cell lymphoma pati,drug  ofatumumab drug  etoposide drug  ifosfamid drug  mesna drug  cytarabine drug  methotrexate drug  leukovorin drug  granulocyte colony stimulating factor,phase 2
122,efficacy study rituximab asct high risk diffuse large b cell lymphoma,drug  acvbp drug  ace drug  rituximab procedure  autologous stem cell transpl,phase 3
123,combination sar3419 rituximab relapsed refractory diffuse large b cell lymphoma,drug  sar3419 drug  rituximab,phase 2
124,phase ii trial r chop   azacytidine diffuse large b cell lymphoma,biological  rituximab drug  cyclophosphamide drug  vincristine drug  doxorubicin drug  prednisone drug  azacytidin,phase 1 phase 2
125,phase iii study rad001 adjuvant therapy poor risk patients diffuse large b cell lymphoma  dlbcl  rad001 versus matching placebo patients achieved complete response first line rituximab chemotherapi,drug  everolimus drug  everolimus placebo,phase 3
126,sar3419 single agent relapsed refractory diffuse large b cell lymphoma  dlbcl  pati,drug  sar3419,phase 2
127,treatment relapsed  refractory diffuse large b cell lymphoma,drug  apatinib,phase 4
128,study navitoclax addition bendamustine rituximab patients relapsed diffuse large b cell lymphoma  navigate ,drug  bendamustine drug  navitoclax drug  rituximab,phase 2
129,safety efficacy blinatumomab subjects newly diagnosed high risk diffuse large b cell lymphoma,drug  blinatumomab drug  investigator choice chemotherapi,phase 2
130,rituximab  ifosfamide  carboplatin  etoposide  rice  followed gallium nitrate  rituximab dexamethasone  gard  relapsed refractory diffuse large b cell lymphoma,drug  rice drug  gard treat,phase 2
131,131i rituximab relapsed refractory marginal zone b cell lymphoma,drug  131i rituximab,phase 2
132,acp 196  btk inhibitor  treatment de novo activated b cell  abc  subtype diffuse large b cell lymphoma,drug  acp 196,phase 1
133,phase ii study tumor targeting human l19 il2 monoclonal antibody cytokine fusion protein combination rituximab relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  l19 il2   ph drug  l19 il2 rd   ph ii drug  rituximab,phase 1 phase 2
134,pidilizumab treating patients stage iii iv diffuse large b cell lymphoma following first remiss,laboratory biomarker analysis biological  pidilizumab,phase 2
135,everolimus plus rituximab relapsed refractory diffuse large b cell lymphoma,drug  everolimus drug  rituximab,phase 2
136,epigenetic modulation relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  rad001 drug  lbh589 drug  doublet  rad001 lbh589 ,phase 2
137,study evaluate safety  pharmacokinetics  clinical activity combination ro6870810 venetoclax  without rituximab  participants relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  ro6870810 drug  venetoclax drug  rituximab,phase 1
138,phase ib ii study efficacy safety r cmc544 r gemox combination diffuse lage b cell lymphoma first second relap,drug  rituximab  cmc544  gemcitabine oxaliplatin,phase 1 phase 2
139,da edoch14 r poor prognosis diffuse large b cell lymphoma,drug  dexamethasone dose dense immunochemoterapi,phase 2
140,bendamustine combined rituximab patients relapsed refractory diffuse large b cell lymphoma,drug  bendamustine drug  rituximab,phase 2
141,dose dense chemotherapy rituximab young high risk diffuse large b cell lymphoma patients  cry 04 ,drug  r choep14x6 hd arac hd mtx,phase 2
142,study evaluate lenalidomide combined dexamethasone relapsed refractory diffuse large b cell lymphoma,drug  cc 5013  lenalidomide  drug  dexamethason,phase 2
143,study r acvbp regimen supported pegfilgrastim high risk diffuse large b cell lymphoma,drug  rituximab   acvbp regimen plus pegfilgrastim procedure  autologous stem cell transpl,phase 2
144,r chop b bevacizumab diffuse large b cell lymphoma,drug  bevacizumab  rituximab,phase 2
145,study obinutuzumab combination chop chemotherapy versus rituximab chop participants cd20 positive diffuse large b cell lymphoma  goya ,drug  rituximab drug  obinutuzumab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 3
146,lenalidomide  ixazomib  rituximab front line therapy high risk indolent b cell lymphoma,drug  ixazomib drug  lenalidomide drug  rituximab,phase 1 phase 2
147,ibrutinib combination lenalidomide rituximab participants relapsed refractory diffuse large b cell lymphoma,drug  ibrutinib drug  lenalidomide drug  rituximab,phase 1 phase 2
148,study evaluate safety efficacy dasatinib  sprycel  subjects relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  dasatinib,phase 2
149,safety efficacy medi 551 combination immunomodulating therapies subjects aggressive b cell lymphoma,drug  medi 551 12 mg kg drug  medi0680 2 5 mg kg drug  medi0680 10 mg kg,phase 1 phase 2
150,study evaluating efficacy axicabtagene ciloleucel compared standard care therapy subjects relapsed refractory diffuse large b cell lymphoma,drug  axicabtagene ciloleucel drug  platinum containing salvage chemotherapy  eg  r ice  followed high dose therapy  eg  beam  autologous stem cell transplant responders ,phase 3
151,response study yt90 zevalin patients diffuse large b cell lymphoma 6 cycles chop,drug  chemotherapy followed zevalin,phase 2
152,study combination velcade  rituximab  cyclophosphamide  doxorubicin  prednisone rituximab  cyclophosphamide  doxorubicin  vincristine  prednisone patients newly diagnosed non germinal center b cell subtype diffuse large b cell lymphoma,drug  velcade drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  prednisone drug  vincristin,phase 2
153,study ibrutinib combination rituximab chop epstein barr virus positive diffuse large b cell lymphoma,drug  ibrutinib drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisolon,phase 2
154,indication transplant patients high risk b cells lymphoma metabolic complete remission ,procedure  autograft,nan
155,bendamustine  obinutuzumab  dexamethasone older patients diffuse large b cell lymphoma,drug  bendamustine hydrochloride biological  obinutuzumab drug  dexamethasone quality life assessment laboratory biomarker analysi,phase 2
156,phase ii trial thalidomide refractory relapsed diffuse large b cell lymphoma hodgkin disea,drug  thalidomid,phase 2
157,rituximab combination chemotherapy treating patients diffuse large b cell non hodgkin lymphoma,biological  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  etoposide drug  filgrastim drug  pegfilgrastim,phase 3
158,improving outcome high risk aggressive b cell lymphoma patients nivolumab maintenance therapi,biological  nivolumab,phase 2
159,anti cd19 tcrζ chimeric antigen receptor cells treatment cd19  b cell lymphoma,biological  il 2 pre treated cd19 cells biological  il 7 il 15 pre treated cd19 cel,phase 4
160,indolent non follicular lymphomas prognostic project,treatment  watch wait policy includ,nan
161,safety  pharmacokinetic pharmacodynamic effect ka2237  pi3 kinase p110β δ inhibitor  b cell lymphoma,drug  ka2237,phase 1
162,study rituximab bendamustine without brentuximab vedotin cd30 positive diffuse large b cell lymphoma,drug  brentuximab vedotin drug  rituximab drug  bendamustin,phase 2
163,multicentre study determine cardiotoxicity r chop compared r comp patients diffuse large b cell lymphoma,drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  liposomal doxorubicin drug  vincristin drug  prednisolon,phase 2
164,study atezolizumab combination either obinutuzumab plus bendamustine obinutuzumab plus     cyclophosphamide  doxorubicin  vincristine  prednisone  chop  participants follicular lymphoma  fl  rituximab   chop participants diffuse large b cell lymphoma  dlbcl ,drug  atezolizumab drug  bendamustine drug  cyclophosphamide drug  doxorubicin drug  obinutuzumab drug  prednisone drug  vincristine drug  rituximab,phase 1 phase 2
165,study mini chop plus ofatumumab treat cd 20  diffuse large b cell lymphoma patients aged 80 year,drug  ofatumumab,phase 2
166,multicenter prospective registry study diffuse large b cell lymphoma,nan,nan
167,r ceop 90 r ceop 70 versus r chop 50 treatment diffuse large b cell lymphoma follicular lymphoma grade 3b,drug  r ceop 70 drug  r ceop 90 drug  r chop 50,phase 3
168,study evaluate safety efficacy adeno ifn gamma cutaneous b cell lymphoma,genetic  adenovirus interferon gamma,phase 2
169,study roflumilast combination standard chemotherapy high risk diffuse large b cell lymphoma,drug  roflumilast,phase 1
170,study safety efficacy cc 122 combined rchop newly diagnosed dlbcl poor risk factor,drug  avadomide  cc 122  drug  rituximab drug  cyclophosphamide 750mg m2 iv infusion drug  vincristine drug  prednison,phase 1 phase 2
171,study comparing gb241 rituximab patients b cell non hodgkin lymphoma,biological  gb241 biological  rituximab,phase 1
172,study assess effectiveness rchop without velcade previously untreated non germinal center b cell like diffuse large b cell lymphoma pati,drug  bortezomib drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednison,phase 2
173,combination rituximab varlilumab immunotherapy patients b cell lymphoma,drug  varlilumab,phase 1 phase 2
174,study l nddp  aroplatin  patients advanced solid malignancies b cell lymphoma,drug  aroplatin,phase 1
175,mabthera  rituximab  combination chop  chop like  chemotherapy patients aggressive b cell lymphoma,drug  cyclophosphamide drug  hydroxydaunorubicin drug  oncovin drug  prednisone drug  rituximab,nan
176,rituximab standard chop vs rituximab bi weekly chop untreated stage iii iv low grade b cell lymphoma  jcog0203 ,drug  rituximab   standard chop drug  rituximab   bi weekly chop,phase 2 phase 3
177,thiotepa  busulfan fludarabin pt refractory early relapsed aggressive b cell non hodgkin lymphoma,drug  thiotepa drug  busulfan drug  fludarabin procedure  transplant  hct  radiation  cytoreduction drug  immunosuppression drug  cyclosporine drug  methotrexate drug  atg procedure  collection infusions donor pbsc,phase 2
178,safety  tolerability pk btk inhibitor dtrmwxhs 12 patients b cell lymphoma,drug  dtrmwxhs 12,phase 1
179,study obinutuzumab  polatuzumab vedotin  lenalidomide relapsed refractory follicular lymphoma  fl  rituximab combination polatuzumab vedotin lenalidomide relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  lenalidomide drug  obinutuzumab drug  polatuzumab vedotin drug  rituximab,phase 1
180,safety efficacy bexxar therapy treatment relapsed residual b cell lymphoma autologous transpl,drug  bexxar,phase 1
181,dose dense chemotherapy   rituximab    intensified high dose chemoimmunotherapy support peripheral autologous stem cell diffuse large b cell lymphoma,drug  rituximab drug  ciclofosfamide drug  doxorubicina drug  vincristina drug  prednisone drug  pegfilgrastim drug  mitoxantrone drug  ara c drug  lenograstim drug  bcnu drug  vp 16 procedure  asct,phase 3
182,evaluate efficacy armodafinil patients b cell lymphoma severe fatigu,drug  armodafinil drug  placebo,applicable
183,study bortezomib plus gdp treatment refractory relapsed non gcb dlbcl,drug  bortezomib drug  gemcitabine drug  dexamethasone drug  cisplatin,phase 2
184,study participant preference subcutaneous versus intravenous mabthera rituxan participants cd20  diffuse large b cell lymphoma cd20  follicular non hodgkin lymphoma grades 1  2 3a,drug  cyclophosphamide  hydroxydaunorubicin  oncovin  prednisone prednisolone  chop  drug  cyclophosphamide  vincristine  prednisone prednisolone  cvp  drug  bendamustine drug  rituximab,phase 3
185,proteasome inhibitor ps 341 relapsed refractory b cell lymphomas previously treated chemotherapi,drug  ps341  bortezomib ,phase 2
186,lenalidomide  mtx  ara c rituximab relapsed aggressive b cell lymphoma,drug  lenalidomid,phase 1 phase 2
187,phase 2  multicenter  randomized  open label study medi 551 adults relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  medi 551 2 mg kg drug  rituximab drug  ice drug  dhap procedure  autologous stem cell transplant  asct  drug  medi 551 4 mg kg,phase 2
188,rituximab plus chop chemotherapy diffuse large b cell lymphoma,drug  r chop,phase 2
189,observational study evaluating efficacy safety preemptive antiviral therapy tenofovir hbsag positive patients diffuse large b cell lymphoma receiving rituximab chop chemotherapy  speed study ,nan,nan
190,study safety tolerability pci 32765 patients recurrent b cell lymphoma,drug  pci 32765,phase 1
