"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT02547948","CD19-targeting CAR T Cells for B Cell Lymphoma",,"Completed","No Results Available","B Cell Lymphoma","Biological: CD19-targeting CAR T Cells infusion","CAR T cell persistence|Tumor load","Fuda Cancer Hospital, Guangzhou","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CD19-targeting CAR T","September 2015","August 15, 2017","August 15, 2017","September 14, 2015","null","August 16, 2017","Central laboratory in Fuda cancer hospital, Guangzhou, Guangdong, China","","https://ClinicalTrials.gov/show/NCT02547948"
12,"NCT03146533","CD19 CART Cells for Patients With Relapse and Refractory CD19+ B-cell Lymphoma.",,"Recruiting","No Results Available","B Cell Lymphoma","Drug: Fludarabine|Drug: Cyclophosphamide|Biological: CD19 CART","safety as assessed by the occurence of study related adverse events|observe the maximum tolerated dose (MTD)|objective response rate|disease control rate|overall survival|Progression-Free Survival|Determine duration of in vivo survival of CD19 CART cells|Peripheral blood cytokines|subgroup of T cell","Shenzhen Second People's Hospital|The Beijing Pregene Science and Technology Company, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","20","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FirstShenzhen01","May 2017","April 2019","October 2019","May 10, 2017","null","May 17, 2017","The Second People's Hospital of Shenzhen, Shenzhen, Guangdong, China","","https://ClinicalTrials.gov/show/NCT03146533"
13,"NCT03189524","A Study to Investigate BGB-3111 in Chinese Patients With B-cell Lymphoma",,"Recruiting","No Results Available","B-cell Lymphoma","Drug: BGB-3111","The safety and tolerability of BGB-3111 measured by the occurrence of adverse events and serious adverse events according to NCI-CTCAE4.03 grading criteria in Part I|The efficacy measured by overall response rate (ORR) in Part II|The efficacy measured by complete response rate (CRR) in Part II|The efficacy measured by partial response rate (PRR) in Part II|The efficacy measured by progression free survival (PFS) in Part II","BeiGene","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","41","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BGB-3111-1002","July 5, 2016","January 31, 2021","June 30, 2021","June 16, 2017","null","June 16, 2017","Beijing Cancer Hospital, Beijing, Beijing, China|Tongji Hospital, Tongji Medical College Huazhong Univ of Sci and Tch, Wuhan, Hubei, China|Jiangsu Province Hospital, Nanjing, Jiangsu, China|Tianjin Hematonosis Hospital, Tianjin, Tianjin, China","","https://ClinicalTrials.gov/show/NCT03189524"
14,"NCT03101709","The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Lymphoma",,"Recruiting","No Results Available","B Cell Lymphoma","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: CART-19","safety as assessed by the occurence of study related adverse events|efficacy assessed by anti-tumor activity of CART-19 cells|duration of CART-19","Henan Cancer Hospital|The Beijing Pregene Science and Technology Company, Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","30","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HenanCH109","August 2016","July 2018","July 2019","April 5, 2017","null","April 5, 2017","Henan Cancer Hospital, Zhengzhou, Henan, China","","https://ClinicalTrials.gov/show/NCT03101709"
15,"NCT03670888","A Study to Compare the Bioequivalence and Safety of JHL1101 and Rituximab in CD20 Positive B Cell Lymphoma Patients",,"Not yet recruiting","No Results Available","B Cell Lymphoma","Biological: JHL1101|Biological: Rituximab","AUC0~t|AUC0-∞|Cmax","JHL Biotech, Inc.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","128","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","JHL-CLIN-1101-02","November 30, 2018","December 31, 2020","April 30, 2021","September 14, 2018","null","September 14, 2018","First Hospital of Shanxi Medical University, Taiyuan, Shanxi, China|Institute of Hematology and Blood Diseases Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Tianjin, Tianjin, China","","https://ClinicalTrials.gov/show/NCT03670888"
16,"NCT02842138","Autologous CD19 CAR T Cells in Relapsed or Refractory B-cell Lymphoma",,"Recruiting","No Results Available","B-cell Lymphoma","Biological: autologous anti-CD19 CAR T cells","Number of patients with adverse events|Treatment response rate of anti-CD19 CAR T cell infusion|overall survival rate of patients treated with anti-CD19 CAR T cells|progression-free survival of patients treated with anti-CD19 CAR T cells","Peking University|Marino Biotechnology Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 1","25","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2016YJZ12","June 2016","June 2018","June 2019","July 22, 2016","null","February 27, 2017","Peking University Cancer Hospital, Beijing, China","","https://ClinicalTrials.gov/show/NCT02842138"
17,"NCT03218072","A Study to Evaluate Safety, Tolerability, PK and PD of HLX01 in Patients With CD20-positive B-cell Lymphomas",,"Completed","No Results Available","B-cell Lymphomas","Drug: HLX01","AEs|SAEs|AUC0-inf|Cmax|t1/2|CD19 positive B cells|CD20 positive B cells|Antidrug antibodies of HLX01","Shanghai Henlius Biotech","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","12","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HLX01-NHL01","May 4, 2014","January 31, 2015","January 31, 2015","July 14, 2017","null","July 19, 2017","","","https://ClinicalTrials.gov/show/NCT03218072"
18,"NCT02741388","A Phase Ib Study of Oral Selinexor in Adult Patients With Relapsed/Refractory B-cell Lymphoma Receiving R-DHAOx or R-GDP","SELINDA","Recruiting","No Results Available","B-cell Lymphoma","Drug: selinexor|Drug: Rituximab|Drug: Dexamethasone|Drug: Oxaliplatin|Drug: Cisplatin|Drug: Cytarabine|Drug: Gemcitabine","Incidence rate of dose-limiting toxicities (DLTs) observed during the DLT assessment period (cycle 1) at each dose level examined|Response rates|Duration of response|Progression-free survival (PFS)|Time to next anti-lymphoma treatment (TTNLT)|Overall survival (OS)|Incidence of grade ≥ 2 renal toxicities, grade ≥ 2 neuropathy, and grade ≥ 3 toxicities","The Lymphoma Academic Research Organisation|Karyopharm Therapeutics Inc","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1","60","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SELINDA","October 2016","September 2018","June 2020","April 18, 2016","null","March 7, 2018","Institut Jules Bordet, Bruxelles, Belgium|CHU Dijon, Dijon, France|CHRU de Lille - Hôpital Claude Huriez, Lille, France|CHU Montpellier - Hôpital Saint Eloi, Montpellier, France|CHU Nancy - Hôpital de Brabois, Nancy, France|Hôpital Saint-Louis, Paris, France|CHU Bordeaux - Centre François Magendie, Pessac, France|Centre Henri Becquerel, Rouen, France","","https://ClinicalTrials.gov/show/NCT02741388"
19,"NCT02060435","Epstein-Barr Virus Status in Diffuse Large B Cell Lymphoma",,"Completed","No Results Available","Diffuse Large B-cell Lymphoma","Other: EBER","overall survival","Samsung Medical Center","All","17 Years to 90 Years   (Child, Adult, Older Adult)","","571","Other","Observational","Observational Model: Case Control|Time Perspective: Retrospective","2013-07-101-001","January 2013","December 2013","February 2014","February 12, 2014","null","February 12, 2014","Samsung Medical Center, Seoul, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT02060435"
20,"NCT02060656","Phase II Study Comparing LR-GEM to R-GEM-P in Second-line Treatment of Diffuse Large B-cell Lymphoma (LEGEND)","LEGEND","Unknown status","No Results Available","Diffuse Large B-Cell Lymphoma","Drug: Gemcitabine|Drug: Methylprednisolone|Drug: Rituximab|Drug: Cisplatin|Drug: Lenalidomide","Complete response rate (CRR)|Overall Response Rate|Event-free Survival|Overall Survival|Rates of successful stem cell harvest","Royal Marsden NHS Foundation Trust|Celgene Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 2","92","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","RMH CCR: 3862|2012-002620-32","September 2013","February 2016","null","February 12, 2014","null","February 12, 2014","Royal Marsden NHS Foundation Trust - London and Surrey, London, United Kingdom","","https://ClinicalTrials.gov/show/NCT02060656"
21,"NCT01068392","Oxaliplatin and Prednisolone (Ox-P) for Patients With Relapsed or Refractory Marginal Zone B-cell Lymphoma(MZL)",,"Completed","No Results Available","B-cell Lymphomas","Drug: Oxaliplatin, Prednisolone","Response rate by International Working Group Response Criteria|progression free survival|overall survival","Dong-A University Hospital|Samsung Medical Center|Asan Medical Center|Chung-Ang University|Kyungpook National University|Chonnam National University Hospital|Korea Cancer Center Hospital|Korea University","All","20 Years and older   (Adult, Older Adult)","Phase 2","42","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CISL-MZL-10-3","October 2009","September 2013","September 2014","February 12, 2010","null","November 4, 2014","Dong-A University Hospital, Busan, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT01068392"
22,"NCT00944567","A Clinico-Pathologic Study of Primary Mediastinal B-Cell Lymphoma",,"Completed","No Results Available","Primary Mediastinal B-Cell Lymphoma","","response rate on PET scanning following initial chemo-immunotherapy","International Extranodal Lymphoma Study Group (IELSG)","All","18 Years and older   (Adult, Older Adult)","","125","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IELSG26|EudraCT number 2006-005794-22","January 2007","May 2011","February 27, 2017","July 23, 2009","null","August 15, 2017","A.O. SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|IRCCS Ospedale Oncologico, Bari, Italy|Policlinico S. Orsola Malpighi, Bologna, Italy|Ospedale Oncologico, Cagliari, Italy|Policlinico Careggi, Firenze, Italy|A.O.Papardo, Messina, Italy|Ospedale Niguarda Ca' Granda, Milano, Italy|Ospedale San Raffaele, Milano, Italy|Università di Modena, Policlinico, Modena, Italy|Policlinico S. Matteo, Pavia, Italy|A.O. Bianchi-Melacrino-Morelli, Reggio Calabria, Italy|Arcispedale S. Maria Nuova, Reggio Emilia, Italy|Università di Roma ""La Sapienza"" - DAI Ematologia, Rome, Italy|Humanitas, Rozzano, Italy|Ospedale Maggiore San Giovanni Battista, Torino, Italy|Ospedale di Circolo Fondazione Macchi, Varese, Italy|Clinic Hospital Universitari, Barcelona, Spain|IOSI, Bellinzona, Switzerland|Barts & the London NHS Trust, London, United Kingdom|Royal Marsden NHS Foundation Trust, London, United Kingdom","","https://ClinicalTrials.gov/show/NCT00944567"
23,"NCT02531308","Metformin in Combination With Standard Induction Therapy for Large B-cell Lymphoma (DLBCL)","DLBCL","Terminated","Has Results","Diffuse Large B-Cell Lymphoma","Drug: Metformin|Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: pegfilgrastim","Progression Free Survival","Rush University Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 2","5","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","LYM2014-MET-R-CHOP","July 2015","July 2016","July 2016","August 24, 2015","January 27, 2017","January 27, 2017","Rush University Medical Center, Chicago, Illinois, United States","","https://ClinicalTrials.gov/show/NCT02531308"
24,"NCT00097929","An Investigational Drug Study With Suberoylanilide Hydroxamic Acid in Relapsed Diffuse Large B-cell Lymphoma (0683-013)",,"Completed","No Results Available","B-cell Lymphoma","Drug: MK0683, vorinostat, Suberoylanilide Hydroxamic Acid (SAHA) / Duration of Treatment 6 Months","Objective response rate based on FDG-PET and CT scan findings.|Response duration, Progression-free survival, Time to progression, Time to response, 3-Month and 6-month progression free survival.","Merck Sharp & Dohme Corp.","All","18 Years and older   (Adult, Older Adult)","Phase 2","18","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0683-013|MK0683-013|2004_029","May 1, 2005","July 31, 2006","July 31, 2006","December 2, 2004","null","April 7, 2017","","","https://ClinicalTrials.gov/show/NCT00097929"
25,"NCT02945215","A Study to Assess the Pharmacokinetics and Safety of Recombinant Human Murine Chimeric Anti CD20 Monoclonal Antibody Injection (IBI301) Compared to Rituximab Injection in CD20 Positive B Cell Lymphoma Patients",,"Recruiting","No Results Available","B-Cell Lymphoma","Drug: IBI301|Drug: Rituximab","AUC0-inf of IBI301 and rituximab|Peak Plasma Concentration (Cmax)|Percentage and absolute value of CD19+|Percentage and absolute value of CD20+ B-cell|Positive rate of ADA|Positive rate of NAb|Safety profiles|Area under the plasma concentration versus time curve (AUC)","Innovent Biologics (Suzhou) Co. Ltd.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","140","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CIBI301A201","November 2016","April 2018","April 2018","October 26, 2016","null","April 11, 2017","Beijing cancer hospital, Beijing, Beijing, China|Peking University third hospital, Beijing, Beijing, China|The 307th Hospital of Military Medical Sciences, Beijing, Beijing, China|Harbin Medical University Cancer Hospital, Haerbin, Heilongjiang, China|The First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China|The Third Xiangya Hospital of Central South University, Changsha, Hunan, China|Xiangya Hospital of Central South University, Changsha, Hunan, China|Jiangsu province people's hospital, Nanjing, Jiangsu, China|West China Hospital,Sichuan University, Chengdu, Sichuan, China|Tianjin People's Hospital, Tianjin, Tianjin, China|The First Affiliated Hospital Zhejiang University, Hangzhou, Zhejiang, China|The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China","","https://ClinicalTrials.gov/show/NCT02945215"
26,"NCT03692767","Study of Anti-CD22 CAR NK Cells in Relapsed and Refractory B Cell Lymphoma",,"Not yet recruiting","No Results Available","Refractory B-Cell Lymphoma","Biological: Anti-CD22 CAR NK Cells","Occurrence of treatment related adverse events as assessed by CTCAE v4.0","Allife Medical Science and Technology Co., Ltd.","All","18 Years to 70 Years   (Adult, Older Adult)","Early Phase 1","9","Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CD22 CAR NK-BJZL-01","November 2018","November 2020","November 2021","October 2, 2018","null","October 2, 2018","","","https://ClinicalTrials.gov/show/NCT03692767"
